id,name,badminton
0180,Abbey Leisure Centre,0
0277,Abbey View,0
0178,Abbs Cross Health Fitness,1
0262,Academy Sport,1
0104,Acton Centre,0
0166,Alton Sports Centre,1
0219,Ashby L C And Lido,1
0069,Basildon Sporting Village,1
0278,Batchwood Golf And Sports,0
0179,Becontree Heath L C,1
0108,Bedworth Leisure Centre,0
0188,Berkhamsted Sports Centre,1
0200,Bewbush Centre,1
0352,Blaby Community,0
0220,Blackbrook Leisure Centre,1
0070,Blandford Leisure Centre,1
0143,Bourne Leisure Centre,1
0182,Bracknell Leisure Centre,1
0115,Brent Valley Golf Course,0
0292,Bristol Community,0
0049,Bristol South Pool,0
0176,Bromsgrove Leisure Centre,0
0080,Cambourne Sports Centre,1
0325,Castle Farm L C,1
0052,Central Park,1
0244,Chalfont Leisure Centre,1
0073,Cheam Leisure Centre,0
0243,Chesham Leisure Centre,1
0255,Chilterns Lifestyle Centr,1
0270,Church St Community L C,1
0372,Clements Hall L C,1
0357,Concord Sports Centre,1
0183,Coral Reef,0
0276,Cotlandswick Lc,1
0317,Cotswold Sports Centre,1
0271,Cottonmill Centre,0
0309,Cranleigh Leisure Centre,0
0367,Crawley Community,0
0213,Cromer Sports Centre,1
0273,Dacorum Community,0
0082,Daventry Leisure Centre,1
0071,David Weir L C,0
0113,Derwent Pool & Fitness,0
0203,Dormers Wells L C,1
0319,Downland Sports Centre,1
0184,Downshire Golf Complex,0
0354,E I S Sheffield,1
0044,Easton Leisure Centre,1
0385,Eastwood Leisure Centre,1
0306,Edenbridge Leisure Centre,1
0269,Edmondscote Athletics,0
0111,Elthorne Sports Centre,1
0014,Enderby L C,1
0084,Eston Leisure Centre,1
0335,Etwall Leisure Centre,1
0066,Eversley Leisure Centre,0
0209,Fakenham Sports Centre,1
0039,Fareham,1
0310,Farnham Leisure Centre,1
0338,Fearnhill Sports Centre,1
0295,Flitwick Leisure Centre,1
0135,Frogmore Leisure Centre,1
0311,Godalming Leisure Centre,0
0258,Grange Paddocks Lc,0
0334,Greenbank Leisure Centre,1
0118,Greenford Sports Centre,1
0087,Guisborough L C,0
0199,Hamble Sports Complex,1
0216,Harborough Leisure Centre,1
0275,Harpenden Leisure Centre,1
0097,Harrow Leisure Centre,1
0251,Harrow Lodge L C,1
0333,Hart Community,0
0136,Hart Leisure Centre,1
0060,Hartham Leisure Centre,0
0312,Haslemere Leisure Centre,0
0098,Hatch End Swimming Pool,0
0359,Heeley Pool And Gym,0
0189,Hemel Hempstead S C,1
0051,Henbury Leisure Centre,1
0125,Hetton Pool & Fitness,0
0356,Hillsborough L C,1
0340,Hitchin Swimming Centre,0
0137,Holly Hill Leisure Centre,0
0045,Horfield Leisure Centre,1
0370,Houghton Regis Leisure,0
0126,Houghton Sports Centre,1
0003,Hucknall L C,1
0215,Huncote Leisure Centre,1
0315,Hungerford Leisure Centre,1
0355,Ice Sheffield,0
0327,Jamie Brough Pavilion,0
0174,John Atkinson Sports C,1
0282,Jubilee Community Leisure,1
0110,Jubilee Sports Centre,1
0202,K2 Crawley,1
0316,Kennet Leisure Centre,1
0260,King George Playing Field,0
0266,Kirkby Leisure Centre,1
0375,Knights Templar S C,1
0318,Lambourn Centre,1
0057,Lammas,0
0186,Langley Leisure Centre,0
0337,Letchworth Lido,0
0158,Little Venice Sports C,1
0088,Loftus Leisure Centre,0
0330,London Aquatics Centre,0
0217,Lutterworth Sports Centre,1
0247,Market Rasen Lc,1
0157,Marshall Street L C,0
0249,Meadowside L C - Whiteley,1
0205,Meadowside Leisure Centre,1
0117,Melton Sports Village,1
0281,Mid Suffolk Community,0
0140,Middlesbrough S V,1
0160,Moberly Sports Centre,1
0267,Moorways Sports Village,0
0268,Moorways Stadium,0
0245,Moulton Leisure Centre,0
0138,Neptune Centre,0
0170,Newbold Comyn L C,1
0165,Noak Hill Sports Complex,0
0341,North Herts Community,0
0336,North Herts L C,1
0192,North Solihull Sports C,1
0313,Northcroft L C & Lido,1
0095,Northolt Leisure Centre,0
0328,Oakley School,1
0156,Paddington Rec Ground,1
0105,Parklands Leisure Centre,1
0096,Perivale Park Track,0
0132,Pindar Leisure Centre,1
0107,Pingles Leisure Centre,0
0353,Ponds Forge Sports Centre,1
0384,Pool In The Park,0
0153,Porchester Hall,0
0155,Queen Mother Sport Centre,1
0124,Raich Carter L C,1
0139,Rainbow Leisure Centre,1
0283,Rainham Leisure Centre,0
0371,Rayleigh Leisure Centre,1
0129,Redbourn Leisure Centre,0
0085,Redcar Leisure Centre,1
0119,Reynolds Sports Centre,1
0196,Rickmansworth Golf Course,0
0288,Ridlins Athletics Track,0
0339,Royston Leisure Centre,1
0112,Ryedale Pool & Fitness,0
0114,Ryedale Sports Centre,1
0187,Salt Hill Activity Centre,0
0086,Saltburn Leisure Centre,1
0298,Sandy Leisure & S C,0
0181,Sapphire Ice And Leisure,0
0296,Saxon Pool & L C,1
0169,Scarborough Sports V,1
0307,Sevenoaks Leisure Centre,1
0034,Shipston On Stour,0
0206,Shobnall Leisure Complex,1
0122,Silksworth Sports Complex,0
0123,Silksworth Tennis Centre,0
0185,Slough Ice Arena,0
0304,Somerset Community,0
0195,South Oxhey L C,1
0002,Southam L C,0
0358,Springs Leisure Centre,1
0274,St Albans Community,0
0171,St Nicholas Park L C,1
0047,St Pauls Sports Academy,1
0284,Stevenage Arts & L C,1
0291,Stevenage Community,0
0365,Stevenage Pitches,0
0286,Stevenage Swimming Centre,0
0037,Stowmarket,1
0038,Stradbroke,0
0272,Stratford Community,0
0001,Stratford L C,1
0033,Studley L C,1
0121,Sunderland Aquatic Centre,0
0168,Taro Leisure Centre,1
0221,Taunton Pool,0
0259,The Brentwood Centre,1
0208,"The Centre, Slough",1
0293,The Dunstable Centre,1
0144,The Grange Leisure Centre,1
0246,The Greig,1
0072,The Phoenix Centre,1
0256,The Reef,0
0294,Tiddenfoot Leisure Centre,1
0193,Tudor Grange L C,1
0264,University Of Derby S C,1
0207,Uttoxeter Leisure Centre,1
0101,Vale Farm Sports Centre,1
0210,Victory Swim And Fitness,0
0222,Vivary Park Centre,0
0120,Washington Leisure Centre,1
0021,Waterfield Leisure Centre,0
0253,Waterlane Leisure Centre,1
0055,Watford Central,1
0056,Watford Woodside,1
0254,Waveney Valley L C,0
0223,Wellington Sports Centre,1
0224,Wellsprings Leisure Centr,1
0063,West Lindsey Leisure,1
0074,Westcroft Leisure Centre,1
0142,Westgate Leisure Centre,1
0083,Westminster Lodge L C,1
0163,Westway Fitness,0
0162,Westway Sport And Fitness,0
0041,Weymouth,0
0131,Whitby Leisure Centre,1
0261,White Oak Lc,1
0250,Whitehill And Bordon Lc,0
0265,Whitwick & Coalville Lc,1
0068,Wickford Swimming Pool,0
0106,Wigston Pool & Fitness,0
0194,William Penn L C,1
0314,Willink Leisure Centre,1
0252,Winchester Sports,1
0383,Woking Leisure Centre,1
0386,Woking Sports Box,1
0201,Wythenshawe Forum Leisure,1
